apetyczny	nieapetyczny
nieprofesjonalność	profesjonalność
zdrowy	chory
tylny	przedni
przedni	tylny
niefizyczny	fizyczny
niefizykalny	fizykalny
nieudolność	udolność
weryfikowalny	nieweryfikowalny
nieweryfikowalny	weryfikowalny
świadomy	nieświadomy
gospodarczy	niegospodarczy
wnętrzniak	zewnętrzniak
zewnętrzniak	wnętrzniak
kura	kur
kura	kogut
krowa	byk
owca	baran
koza	kozioł
koza	kozioł
poligenizm	monogenizm
monogenizm	poligenizm
diereza	synereza
akariota	kariota
akariota	eukariota
organizmy akariotyczne	organizmy eukariotyczne
organizmy akariotyczne	organizmy jądrowe
bezjądrowe	jądrowe
bezjądrowe	jądrowce
przedjądrowce	jądrowe
przedjądrowce	jądrowce
nazwa pozorna	nazwa rzetelna
nazwa bezprzedmiotowa	nazwa przedmiotowa
nazwa pusta	nazwa niepusta
nazwa nieoznaczająca	nazwa oznaczająca
nazwa rzetelna	nazwa pozorna
nazwa niepusta	nazwa pusta
nazwa oznaczająca	nazwa nieoznaczająca
nazwa przedmiotowa	nazwa bezprzedmiotowa
owogeneza	spermatogeneza
noeza	noemat
degradacja	regradacja
ekwipotencjalność	ekwifinalność
rezydent	nierezydent
nierezydent	rezydent
białe	czarne
czarne	białe
roślina światłolubna	roślina cieniolubna
roślina cieniolubna	roślina światłolubna
synereza	diereza
źrebiczek	źrebiczka
źrebiczka	źrebiczek
kaczka	kaczor
udolność	nieudolność
mizdra	lico
lico	mizdra
samura	pojedynek
sorbat	sorbent
sapisko	pustynia
sensualność	cielesność
uchronność	nieuchronność
silność	bezsilność
nieprzemijalność	przemijalność
sonograf	audiometr
niewymienialność	wymienialność
nosowość	ustność
ustność	nosowość
ponderabilia	imponderabilia
niezłożoność	złożoność
noemat	noeza
monocentryzm	policentryzm
monogamiczność	poligamiczność
prawoskrętność	lewoskrętność
lewoskrętność	prawoskrętność
rodzaj męskoosobowy	rodzaj niemęskoosobowy
rodzaj niemęskoosobowy	rodzaj męskoosobowy
krystaloid	koloid
locha	odyniec
siuta	sarniak
siuta	kozioł
ekwifinalność	ekwipotencjalność
zmienna zależna	zmienna niezależna
zmienna niezależna	zmienna zależna
dane jakościowe	dane ilościowe
dane ilościowe	dane jakościowe
pies	suka
inwalidacja	walidacja
liniowy	nieliniowy
wewnątrzsterowność	zewnątrzsterowność
zewnątrzsterowność	wewnątrzsterowność
wejściowy	wyjściowy
bezołowiowy	ołowiowy
oralność	piśmienność
zmywalny	niezmywalny
nieliniowy	liniowy
przetłumaczalny	nieprzetłumaczalny
jednokomórkowy	wielokomórkowy
apollińskość	dionizyjskość
niesakramentalny	sakramentalny
nieprzemienność	przemienność
niezaskarżalność	zaskarżalność
podrzędnik	nadrzędnik
nierównoważność	równoważność
denaturalizacja	naturalizacja
dionizyjskość	apollińskość
dionizyjskość	apolińskość
ostateczny	nieostateczny
nieostateczny	ostateczny
ostateczność	nieostateczność
nieostateczność	ostateczność
dysproporcjonalność	proporcjonalność
dyzgust	gust
chrześcijański	niechrześcijański
konny	bezkonny
dwuręczny	jednoręczny
niezerowy	zerowy
repigmentacja	depigmentacja
depigmentacja	repigmentacja
ruralizacja	urbanizacja
rustyfikacja	urbanizacja
niewierzący	wierzący
aktywność	nieaktywność
nieaktywność	aktywność
dopełnienie bliższe	dopełnienie dalsze
dopełnienie dalsze	dopełnienie bliższe
pudło	trafienie
nieokreślony	określony
nieortodoksyjny	ortodoksyjny
twórczy	nietwórczy
ustrojowy	pozaustrojowy
rozstrzygalny	nierozstrzygalny
rozstrzygalność	nierozstrzygalność
nierozstrzygalny	rozstrzygalny
nierozstrzygalność	rozstrzygalność
niepowabny	powabny
niemałżeński	małżeński
niepartnerski	partnerski
niejapoński	japoński
apolińskość	dionizyjskość
antyreumatyczny	reumatyczny
niejonowy	jonowy
bezsilnikowy	silnikowy
oskarżenie prywatne	oskarżenie publiczne
oskarżenie publiczne	oskarżenie prywatne
niekonsumpcyjny	konsumpcyjny
niekonsumpcyjny	konsumpcyjny
pozagospodarczy	gospodarczy
pozaprodukcyjny	produkcyjny
metal ciężki	metal lekki
metal lekki	metal ciężki
acykliczny	cykliczny
acykliczny	cykliczny
współwłasność łączna	współwłasność ułamkowa
współwłasność ułamkowa	współwłasność łączna
nieczłonkowski	członkowski
niedodatni	dodatni
łapownictwo bierne	łapownictwo czynne
łapownictwo czynne	łapownictwo bierne
niepowszechny	powszechny
niepowszechny	powszechny
niejednogłośny	jednogłośny
niezakaźny	zakaźny
przyszywany	rodzony
kolorowy	czarno-biały
wyprawny	niewyprawny
niewyprawny	wyprawny
merytoryczny	niemerytoryczny
równościowy	nierównościowy
nierównościowy	równościowy
niestechiometryczny	stechiometryczny
niewspółrzędny	współrzędny
skazitelny	nieskazitelny
monofoniczny	stereofoniczny
monofoniczny	polifoniczny
niesłowny	słowny
nieneutralny	neutralny
czysty	nieczysty
czysty	nieczysty
jądrzasty	bezjądrzasty
bezkonny	konny
nierychły	rychły
niezdrewniały	zdrewniały
neutralny	nieneutralny
uchwytny	nieuchwytny
uchwytny	nieuchwytny
silnikowy	bezsilnikowy
czysty	nieczysty
czysty	nieczysty
czysty	nieczysty
czysty	nieczysty
czysty	nieczysty
zamknięty	otwarty
monocentryczny	policentryczny
policentryzm	monocentryzm
otwarty	zamknięty
zamknięty	otwarty
sforny	niesforny
japoński	niejapoński
dopływowy	odpływowy
różnowiekowy	jednowiekowy
różnowiekowy	jednowiekowy
egzogamiczny	endogamiczny
endogamiczny	egzogamiczny
egzogamiczność	endogamiczność
endogamiczność	egzogamiczność
graf spójny	graf niespójny
graf niespójny	graf spójny
kafeteria koniunktywna	kafeteria dysjunktywna
kafeteria dysjunktywna	kafeteria koniunktywna
atoniczny	ortotoniczny
ortotoniczny	atoniczny
kofeinowy	bezkofeinowy
jednonożny	obunożny
lewonożny	prawonożny
prawonożny	lewonożny
obunożny	jednonożny
bezprzedziałowy	przedziałowy
przedziałowy	bezprzedziałowy
realistyczny	nierealistyczny
regradacja	degradacja
krzywoliniowy	prostoliniowy
krzywolinijny	prostoliniowy
stereofoniczny	monofoniczny
nieprzewidywalny	przewidywalny
pozainstytucjonalny	instytucjonalny
bezinercyjny	inercyjny
uwłosiony	łysy
nieujemny	ujemny
długożyciowy	krótkożyciowy
krótkożyciowy	długożyciowy
zmiennoogniskowy	stałoogniskowy
stałoogniskowy	zmiennoogniskowy
postnatalny	prenatalny
jednowiekowy	różnowiekowy
jednowiekowy	różnowiekowy
bezdętkowy	dętkowy
dętkowy	bezdętkowy
mimośrodkowy	środkowy
obcokrajowy	krajowy
autosemantyczny	nieautosemantyczny
nieautosemantyczny	autosemantyczny
bezjądrzasty	jądrzasty
wielonaczyniowy	jednonaczyniowy
jednonaczyniowy	wielonaczyniowy
wielonaczyniowy	jednonaczyniowy
jednonaczyniowy	wielonaczyniowy
bezobrazowy	obrazowy
bezuczuciowy	uczuciowy
filtrowy	bezfiltrowy
bezfiltrowy	filtrowy
czarnopolowy	białopolowy
białopolowy	czarnopolowy
bistabilny	monostabilny
monostabilny	bistabilny
negatywnie	pozytywnie
pozytywnie	negatywnie
prawomocnie	nieprawomocnie
nietrafnie	trafnie
odgórnie	oddolnie
bezpłatnie	płatnie
oddolnie	odgórnie
polifonicznie	monofonicznie
błędnie	poprawnie
choro	zdrowo
chwiejnie	stabilnie
ciekawie	nieciekawie
darmowo	płatnie
pozasłużbowo	służbowo
dopuszczalnie	niedopuszczalnie
nieoptymalnie	optymalnie
czysto	nieczysto
czysto	nieczysto
jawnie	tajnie
jawno	tajnie
jednolicie	niejednolicie
jednoznacznie	wieloznacznie
anormalnie	normalnie
legalnie	nielegalnie
materialnie	niematerialnie
zgrabnie	niezgrabnie
niedoskonale	doskonale
nieprawomocnie	prawomocnie
nieprzemijająco	przemijająco
nierealnie	realnie
fizykalnie	niefizykalnie
nietypowo	typowo
niewyczerpująco	wyczerpująco
niezgrabnie	zgrabnie
normalnie	anormalnie
normalnie	nienormalnie
normalnie	anormalnie
optymalnie	nieoptymalnie
pisemnie	ustnie
poprawnie	błędnie
przemijająco	nieprzemijająco
dodatnio	niedodatnio
lewostronnie	prawostronnie
prawostronnie	lewostronnie
płatnie	bezpłatnie
płatnie	darmowo
realnie	wirtualnie
rychło	nierychło
sakralnie	świecko
stacjonarnie	niestacjonarnie
świecko	sakralnie
służbowo	pozasłużbowo
ustnie	pisemnie
zewnętrznie	wewnętrznie
widocznie	niewidzialnie
widzialnie	niewidzialnie
wirtualnie	realnie
wyczerpująco	niewyczerpująco
wystarczająco	niewystarczająco
prostoliniowo	krzywoliniowo
zdrowo	choro
niestacjonarnie	stacjonarnie
chromatycznie	diatonicznie
diatonicznie	chromatycznie
stabilnie	chwiejnie
stabilnie	chybotliwie
stabilnie	chwiejno
dodatnio	ujemnie
czysto	nieczysto
asymetrycznie	symetrycznie
rzeczywiście	nierzeczywiście
wybaczalnie	niewybaczalnie
nieprawidłowo	prawidłowo
jednogłośnie	niejednogłośnie
niewybaczalnie	wybaczalnie
dwukierunkowo	jednokierunkowo
nieprawdziwie	prawdziwie
fałszywie	prawdziwie
prawdziwie	fałszywie
prawdziwie	nieprawdziwie
ujemnie	dodatnio
egzoterycznie	ezoterycznie
krzywoliniowo	prostoliniowo
nieciekawie	ciekawie
niejednolicie	jednolicie
łaskawie	niełaskawie
neutralnie	nieneutralnie
jednokierunkowo	dwukierunkowo
stereofonicznie	monofonicznie
niełaskawie	łaskawie
chybotliwie	stabilnie
niesłyszalnie	słyszalnie
niedopuszczalnie	dopuszczalnie
doskonale	niedoskonale
niematerialnie	materialnie
fizycznie	niefizycznie
niepochlebnie	pochlebnie
nieharmonijnie	harmonijnie
wieloznacznie	jednoznacznie
krytycznie	pochlebnie
pochlebnie	niepochlebnie
pochlebnie	krytycznie
niefizycznie	fizycznie
niefizykalnie	fizykalnie
niewidzialnie	widocznie
niewidzialnie	widzialnie
harmonijnie	nieharmonijnie
dźwięcznie	bezdźwięcznie
nielegalnie	legalnie
nieoryginalnie	oryginalnie
niepełno	pełno
nierzeczywiście	rzeczywiście
niewystarczająco	wystarczająco
powszechnie	niepowszechnie
powszechnie	niepowszechnie
realnie	nierealnie
równo	nierówno
nieujemnie	ujemnie
stacjonarnie	niestacjonarnie
tajnie	jawno
tajnie	jawnie
trafnie	nietrafnie
typowo	nietypowo
wewnętrznie	zewnętrznie
żywo	martwo
żywo	nieżywo
nienormalnie	normalnie
anormalnie	normalnie
oryginalnie	nieoryginalnie
pełno	niepełno
nierówno	równo
nieuleczalnie	uleczalnie
uleczalnie	nieuleczalnie
wykrywalnie	niewykrywalnie
powszechnie	niepowszechnie
symetrycznie	asymetrycznie
niestacjonarnie	stacjonarnie
niedodatnio	dodatnio
niepowszechnie	powszechnie
niepowszechnie	powszechnie
słyszalnie	niesłyszalnie
niejednogłośnie	jednogłośnie
prawidłowo	nieprawidłowo
dostrzegalnie	niedostrzegalnie
niedostrzegalnie	dostrzegalnie
postrzegalnie	niepostrzegalnie
niepostrzegalnie	postrzegalnie
niepoliczalnie	policzalnie
dostrzegalnie	niedostrzegalnie
niedostrzegalnie	dostrzegalnie
ezoterycznie	egzoterycznie
monofonicznie	stereofonicznie
monofonicznie	polifonicznie
bezdźwięcznie	dźwięcznie
nieneutralnie	neutralnie
nieparzysto	parzysto
nieparzysto	parzyście
nieparzyście	parzysto
nieparzyście	parzyście
parzyście	nieparzyście
parzyście	nieparzysto
parzysto	nieparzyście
parzysto	nieparzysto
czysto	nieczysto
nierychło	rychło
neutralnie	nieneutralnie
policzalnie	niepoliczalnie
konsumpcyjny	niekonsumpcyjny
sakramentalny	niesakramentalny
świadomy	nieświadomy
świadomy	nieświadomy
niesprawny	sprawny
ujemnie	nieujemnie
powszechny	niepowszechny
harmonicznie	nieharmonicznie
nieświadomy	świadomy
nieświadomy	świadomy
nieświadomy	świadomy
chwiejno	stabilnie
nienowy	nowy
młody	młoda
młoda	młody
nieharmonicznie	harmonicznie
czysty	nieczysty
czysty	nieczysty
nieczysty	czysty
nieczysty	czysty
nieczysty	czysty
nieczysty	czysty
nieczysty	czysty
nieczysty	czysty
nieczysty	czysty
nieczysty	czysty
nieczysty	czysty
nieczysty	czysty
nieczysty	czysty
nieczysty	czysty
niewykrywalnie	wykrywalnie
nieczysto	czysto
nieczysto	czysto
nieczysto	czysto
nieczysto	czysto
etatowy	nieetatowy
etatowo	nieetatowo
nieetatowy	etatowy
nieetatowo	etatowo
wracać na tarczy	wracać z tarczą
wrócić z tarczą	wrócić na tarczy
wracać z tarczą	wracać na tarczy
bolszewicki	niebolszewicki
operacyjny	nieoperacyjny
obojętny	nieobojętny
bolszewicki	niebolszewicki
niebolszewicki	bolszewicki
niebolszewicki	bolszewicki
niebolszewicki	bolszewicki
niebolszewicki	bolszewicki
niegospodarczy	gospodarczy
nieneutralny	neutralny
nieneutralny	neutralny
nieneutralny	neutralny
nieobojętny	obojętny
nieobojętny	obojętny
nieobojętny	obojętny
nieneutralnie	neutralnie
praworęczny	leworęczny
leworęczny	praworęczny
oburęczny	jednoręczny
prawonożny	lewonożny
lewonożny	prawonożny
niepowszechny	powszechny
niepowszechny	powszechny
niepowszechnie	powszechnie
nieumyślny	umyślny
niezamierzony	zamierzony
nieuzasadniony	uzasadniony
powabny	niepowabny
martwo	żywo
nieżywo	żywo
